Time,distance
2023-06-07 22:45:33.979349,3.0
2023-06-07 22:45:34.982502,3.0
2023-06-07 22:45:35.982139,4.0
2023-06-07 22:45:36.985291,4.0
2023-06-07 22:45:37.991042,3.0
2023-06-07 22:45:38.988294,3.0
2023-06-07 22:45:41.881875,3.0
2023-06-07 22:45:42.806502,3.0
2023-06-07 22:45:43.809924,3.0
2023-06-07 22:45:44.815176,3.0
2023-06-07 22:45:45.819319,3.0
2023-06-07 22:45:46.810758,4.0
2023-06-07 22:45:47.816929,4.0
2023-06-07 22:45:48.836868,3.0
2023-06-07 22:45:49.840512,3.0
